Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                                                                                         |Код KKS документа                                                            |Пакет РД                                      |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                           |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                         |Разработчики РД (актуальные)   |
213  | 10UBA.E.B00.D-1300      |РЗ и СКУ ЭЧ. КРУ 10 кВ СНЭ. Секция 10BBВ. Таблицы внешних подключений                                                                                                                                     |AKU.0110.10UBA.BBB.AE.MA0001                                                 |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
214  | 10UBA.E.B00.D-1310      |РЗ и СКУ ЭЧ. КРУ 10 кВ СНЭ. Секция 10ВВА. Таблицы внешних подключений                                                                                                                                     |AKU.0110.10UBA.BBA.AE.MA0001                                                 |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
215  | 10UBA.E.B00.D-1320      |РЗ и СКУ ЭЧ. КРУ 10 кВ СНЭ. Секция 10ВВС. Таблицы внешних подключений                                                                                                                                     |AKU.0110.10UBA.BBC.AE.MA0001                                                 |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
216  | 10UBA.E.B00.D-1330      |РЗ и СКУ ЭЧ. КРУ 10 кВ СНЭ. Уставки защит                                                                                                                                                                 |AKU.0120.10UBA.0.AE.DD0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
217  | 10UBA.E.B00.D-1350      |Схемы электрических соединений секций 10 кВ                                                                                                                                                               |AKU.0120.10UBA.0.EM.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
218  | 10UBA.E.BA0.D-1160      |Схемы электрических соединений инверторной сети. Задание заводу                                                                                                                                           |AKU.0120.10UBA.0.EM.EC0002                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
219  | 10UBA.E.BA0.D-1150      |Схемы электрических соединений постоянного тока. Задание заводу                                                                                                                                           |AKU.0120.10UBA.0.EM.EC0003                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
220  | 10UBA.E.BA0.D-1060      |Схемы электрических соединений сборок 0.4 кВ. Журнал силовых кабелей 0.4 кВ                                                                                                                               |AKU.0120.10UBA.0.EM.MB0005                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
221  | 10UBA.E.BA0.D-1070      |Схемы электрических соединений сборок НЭ НП. Журнал силовых кабелей                                                                                                                                       |AKU.0120.10UBA.0.EM.MB0009                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
222  | 10UBA.E.BA0.D-1170      |Схемы электрических соединений сборок НЭ НП. Задание заводу                                                                                                                                               |AKU.0120.10UBA.0.EM.EC0009                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
223  | 10UBA.E.BA0.D-1080      |Схемы электрических соединений секций 10 кВ. Журнал силовых кабелей 10 кВ                                                                                                                                 |AKU.0120.10UBA.0.EM.MB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
224  | 10UBA.E.BA0.D-1190      |Схемы электрических соединений щитов НЭ НП. Задание заводу                                                                                                                                                |AKU.0120.10UBA.0.EM.EC0008                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
225  | 10UBA.E.B00.D-2760      |Задание заводу на сборки для здания 10UMA                                                                                                                                                                 |AKU.0120.10UBA.0.EM.EC0007                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
226  | 10UBA.E.B00.D-1840      |Задание заводу на щиты для здания 10UMA                                                                                                                                                                   |AKU.0120.10UBA.0.EM.EC0006                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
227  | 10UBA.E.B00.D-1550      |Схемы электрических соединений сборок для здания 10UMA                                                                                                                                                    |AKU.0120.10UBA.0.EM.TB0007                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
228  | 10UBA.E.B00.D-1590      |Схемы электрических соединений щитов для здания 10UMA                                                                                                                                                     |AKU.0120.10UBA.0.EM.TB0006                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
229  | 10UBA.E.B00.D-1580      |Схемы электрических соединений щитов НЭ НП. Журнал силовых кабелей                                                                                                                                        |AKU.0120.10UBA.0.EM.MB0008                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
230  | 10UBA.E.B00.D-1570      |Схемы электрических соединений щитов НЭ НП                                                                                                                                                                |AKU.0120.10UBA.0.EM.TB0008                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
231  | 10UBA.E.B00.D-1180      |Схемы электрических соединений постоянного тока                                                                                                                                                           |AKU.0120.10UBA.0.EM.TB0003                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
232  | 10UBA.E.B00.D-1190      |Схемы электрических соединений сборок НЭ НП                                                                                                                                                               |AKU.0120.10UBA.0.EM.TB0009                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>АЭП                   |
233  | 01UEH.E.B00.D-1000      |(01-04UEH). Молниезащита и заземление                                                                                                                                                                     |AKU.1309.01UEH.0.ET.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |JV=>Титан-2=>Ростовский ПСП    |
234  | 02UGZ.E.BAU.D-1000      |Электротехнические чертежи заземления                                                                                                                                                                     |AKU.0120.02UGZ.0.ET.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |АЭП                            |
235  | 00UGM.E.BAU.D-1000      |Заземление и молниезащита                                                                                                                                                                                 |AKU.0210.00UGM.0.ET.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
236  | 00UGM.E.B00.D-1000      |Наружное освещение                                                                                                                                                                                        |AKU.0210.00UGM.0.EN.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
237  | 01UGM.E.B00.D-1010      |Силовое электрооборудование                                                                                                                                                                               |AKU.0210.01UGM.0.EM.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
238  | 01UGM.E.B00.D-1000      |Электрическое освещение                                                                                                                                                                                   |AKU.0210.01UGM.0.EW.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
239  | 02UGM.E.B00.D-1000      |Силовое электрооборудование                                                                                                                                                                               |AKU.0210.02UGM.0.EM.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
240  | 02UGM.E.BA0.D-1000      |Электрическое освещение                                                                                                                                                                                   |AKU.0210.02UGM.0.EW.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
241  | 00UGV.E.BAU.D-1000      |Заземление и молниезащита                                                                                                                                                                                 |AKU.0210.00UGV.0.ET.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
242  | 00UGV.E.B00.D-1010      |Наружное освещение                                                                                                                                                                                        |AKU.0210.00UGV.0.EN.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
243  | 01UGV.E.B00.D-1000      |Силовое электрооборудование                                                                                                                                                                               |AKU.0210.01UGV.0.EM.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
244  | 01UGV.E.BA0.D-1000      |Электрическое освещение                                                                                                                                                                                   |AKU.0210.01UGV.0.EW.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
245  | 02UGV.E.B00.D-1000      |Силовое электрооборудование                                                                                                                                                                               |AKU.0210.02UGV.0.EM.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
246  | 02UGV.E.BA0.D-1000      |Электрическое освещение                                                                                                                                                                                   |AKU.0210.02UGV.0.EW.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
247  | 07UGV.E.B00.D-1000      |Силовое электрооборудование                                                                                                                                                                               |AKU.0210.07UGV.0.EM.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
248  | 07UGV.E.BA0.D-1000      |Электрическое освещение                                                                                                                                                                                   |AKU.0210.07UGV.0.EW.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
249  | 08UGV.E.B00.D-1000      |Силовое электрооборудование                                                                                                                                                                               |AKU.0210.08UGV.0.EM.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
250  | 08UGV.E.BA0.D-1000      |Электрическое освещение                                                                                                                                                                                   |AKU.0210.08UGV.0.EW.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
251  | 00UGW.E.BAU.D-1000      |Заземление и молниезащита                                                                                                                                                                                 |AKU.0210.00UGW.0.ET.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
252  | 00UGW.E.B00.D-1000      |Наружное освещение                                                                                                                                                                                        |AKU.0210.00UGW.0.EN.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
253  | 01UGW.E.BA0.D.1000      |Силовое электрооборудование                                                                                                                                                                               |AKU.0210.01UGW.0.EM.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
254  | 01UGW.E.B00.D.1000      |Электрическое освещение                                                                                                                                                                                   |AKU.0210.01UGW.0.EW.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
255  | 50UGH.E.BAU.D-1000      |Заземление и молниезащита                                                                                                                                                                                 |AKU.0210.50UGH.0.ET.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
256  | 50UGH.E.B00.D-1000      |Наружное освещение                                                                                                                                                                                        |AKU.0210.50UGH.0.EN.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |Титан-2=>ТП=>Спецпроект        |
