
Список отсутствующих кодов.

     Коды работ по выпуску РД	 | 	Наименование объекта/комплекта РД
1134	10UCB.J.CMS.D-1000	 | 	СКУ ПЗ. Автоматическое пожаротушение тонко распыленной водой (0016)
1135	10UCB.J.CY0.D-1010	 | 	СКУ ПЗ. Задание на программное обеспечение технических средств
1136	10UCB.J.CY0.D-1030	 | 	СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей
1137	10UCB.J.CY0.D-1050	 | 	СКУ ПЗ. Система оповещения о пожаре
1138	10UCB.J.CY0.D-1060	 | 	СКУ ПЗ. Системы вентиляции
1139	10UCB.J.CY0.D-1100	 | 	СКУ ПЗ. Автоматическое пожаротушение тонкораспыленной водой. Журнал контрольных кабелей
1140	10UCB.J.CY0.D-1110	 | 	СКУ ПЗ. Автоматическое пожаротушение тонкораспыленной водой. Журнал силовых кабелей
1141	10UCB.J.CYE.D-1040	 | 	СКУ ПЗ. Пожарная сигнализация
1142	10UCB.T.SA0.D-1010	 | 	Установочные чертежи вентиляции
1143	10UGB.T.LCP.D-1000	 | 	Система LCP10. Монтажные чертежи технологического оборудования
1144	10UGB.T.LCP.D-1030	 | 	Система LCP10. Трубопроводы обвязки БЗОВ
1145	10UJA.E.CA0.D-1130	 | 	КРУ 0.38 кВ СНЭ. Журнал контрольных кабелей
1146	10UJA.E.CA0.D-1140	 | 	Первый канал безопасности. КРУ 0.38 кВ. Журнал контрольных кабелей
1147	10UJA.E.CA0.D-1150	 | 	Второй канал безопасности. КРУ 0.38 кВ. Журнал контрольных кабелей
1148	10UJA.E.CA0.D-1160	 | 	Журнал кабелей системной шины
1149	10UJA.E.CA0.D-1200	 | 	РЗ и СКУ ЭЧ. КРУ 10 кВ САЭ. Первый канал безопасности. Журнал контрольных кабелей
1150	10UJA.E.CA0.D-1210	 | 	РЗ и СКУ ЭЧ. КРУ 10 кВ САЭ. Второй канал безопасности. Журнал контрольных кабелей
1151	10UJA.E.CA0.D-1220	 | 	Канал 1. РЗ и СКУ ЭЧ. Кабели пятой группы раскладки. Журнал контрольных кабелей
1152	10UJA.E.CA0.D-1230	 | 	Канал 2. РЗ и СКУ ЭЧ. Кабели пятой группы раскладки. Журнал контрольных кабелей
1153	10UJA.E.CA0.D-1410	 | 	Первый канал безопасности. Щит постоянного тока САЭ. Журнал контрольных кабелей
1154	10UJA.E.CA0.D-1420	 | 	Второй канал безопасности. Щит постоянного тока САЭ. Журнал контрольных кабелей
1155	10UJA.J.C00.D-1000	 | 	Присоединения к кроссовым шкафам ПТК СКУ РО. Аналоговые сигналы
1156	10UJA.J.C00.D-1010	 | 	(11UBP). Внешние присоединения для оборудования СВБУ
1157	10UJA.J.C00.D-1020	 | 	(12UBP). Внешние присоединения для оборудования СВБУ
1158	10UJA.J.C00.D-1030	 | 	(10UBB). Внешние присоединения для оборудования СВБУ
1159	10UJA.J.C00.D-1040	 | 	(11UBP). Журнал кабелей питания стоек ПТС (24В) 2 группа
1160	10UJA.J.C00.D-1050	 | 	(11UBP). Журнал кабелей питания стоек ПТС (24 В) 3 группа
1161	10UJA.J.C00.D-1060	 | 	Присоединения к кроссовым шкафам ПТК СКУ В. Аналоговые сигналы
1162	10UJA.J.C00.D-1070	 | 	(12UBP). Присоединения к ПТС ПТК ЛЗ УСБТ 2 канал
1163	10UJA.J.C00.D-1080	 | 	(12UBP). Присоединения к ПТС ПТК ПУ УСБТ 2 канал
1164	10UJA.J.C00.D-1090	 | 	(12UBP). Журнал кабелей питания стоек ПТС (24В) 2 группа
1165	10UJA.J.C00.D-1100	 | 	(12UBP). Журнал кабелей питания стоек ПТС (24 В) 3 группа
1166	10UJA.J.C00.D-1110	 | 	(11UBP). Присоединения к ПТС ПТК ЛЗ УСБТ 1 канал
1167	10UJA.J.C00.D-1120	 | 	(11UBP). Присоединения к ПТС ПТК ПУ УСБТ 1 канал
1168	10UJA.J.C00.D-1130	 | 	(11UBP). Внешние присоединения для оборудования СРВПЭ
1169	10UJA.J.C00.D-1140	 | 	(12UBP). Внешние присоединения для оборудования СРВПЭ
1170	10UJA.J.C00.D-1150	 | 	Схемы присоединений кабелей к панелям и пультам БПУ, РПУ. Панели безопасности БПУ, 1 канал СБ
1171	10UJA.J.C00.D-1170	 | 	Схемы присоединений кабелей к панелям и пультам БПУ. РПУ. Пульт СУЗ
1172	10UJA.J.C00.D-1180	 | 	МПУ. Схемы внешних подключений кабелей к шкафам вторичных преобразователей КИП НЭ
1173	10UJA.J.C00.D-1190	 | 	МПУ. Схемы внешних подключений кабелей к шкафам вторичных преобразователей КИП СБ
1174	10UJA.J.C00.D-1200	 | 	Перечень измерительных контуров ТТК
1175	10UJA.J.C00.D-1210	 | 	Трубные соединения датчиков ТТК
1176	10UJA.J.C00.D-1220	 | 	Кабельные соединения датчиков ТТК
1177	10UJA.J.C00.D-1230	 | 	Обвязка коллекторов стендов датчиков ТТК
1178	10UJA.J.C00.D-1370	 | 	Схемы питания МПУ вторичных преобразователей КИП НЭ
1179	10UJA.J.C00.D-1380	 | 	Схемы подключения кабелей к МПУ дренажных стоков
1180	10UJA.J.C00.D-1400	 | 	(11UBP). Присоединения к ПТС ПТК В УСБТ 1 канал
1181	10UJA.J.C00.D-1410	 | 	(12UBP). Присоединения к ПТС ПТК В УСБТ 2 канал
1182	10UJA.J.C00.D-1420	 | 	Задание заводу на МПУ вторичных преобразователей КИП НЭ
1183	10UJA.J.C00.D-1430	 | 	Задание заводу на МПУ дренажных стоков
1184	10UJA.J.C00.D-1520	 | 	Задание заводу на панели безопасности БПУ, РПУ. Панели безопасности БПУ, 2 канал СБ
1185	10UJA.J.C00.D-1530	 | 	Схемы присоединений кабелей к панелям и пультам БПУ, РПУ. Панели безопасности БПУ, 2 канал СБ
1186	10UJA.J.C00.D-1540	 | 	(10UBB). Структурная схема СВБУ
1187	10UJA.J.C00.D-1580	 | 	Схемы питания БПУ, РПУ. Панели безопасности
1188	10UJA.J.C00.D-1590	 | 	Схемы питания БПУ. Панели и пульты НЭ
1189	10UJA.J.C00.D-1610	 | 	(10UBB). Кабельный журнал для оборудования СВБУ
1190	10UJA.J.C00.D-1620	 | 	(10UBB). Журнал силовых кабелей в части питания оборудования СВБУ
1191	10UJA.J.C00.D-1630	 | 	(11UBP). Кабельный журнал для оборудования СВБУ
1192	10UJA.J.C00.D-1640	 | 	(12UBP). Кабельный журнал для оборудования СВБУ
1193	10UJA.J.C00.D-1690	 | 	Журнал перемычек контрольных кабелей панелей безопасности БПУ, 1 канал СБ
1194	10UJA.J.C00.D-1700	 | 	Журнал перемычек контрольных кабелей панелей безопасности БПУ, 2 канал СБ
1195	10UJA.J.C00.D-1710	 | 	Журнал перемычек контрольных кабелей для панелей и пультов БПУ. Пульт СУЗ
1196	10UJA.J.C00.D-1720	 | 	Журнал оптоволоконных кабелей для панелей и пультов БПУ. Реакторное отделение
1197	10UJA.J.C00.D-1730	 | 	Журнал оптоволоконных кабелей для панелей и пультов БПУ. Турбинное отделение
1198	10UJA.J.C00.D-1740	 | 	Журнал перемычек контрольных кабелей для панелей и пультов БПУ. Электрическая часть
1199	10UJA.J.C00.D-1750	 | 	Журнал кабелей питания для панелей и пультов БПУ. Реакторное отделение, турбинное отделение и электрическая часть
1200	10UJA.J.C00.D-1760	 | 	Перечень измерительных контуров РК. Аппаратура радиационного контроля течи из I во II контур (АРКТ)
1201	10UJA.J.C00.D-1770	 | 	Компоновка оборудования РК. Аппаратура радиационного контроля течи из I во II контур (АРКТ)
1202	10UJA.J.C00.D-1780	 | 	Кабельные соединения РК. Аппаратура РК течи из I во II контур (АРКТ). Перечень кабельных соединений РК
1203	10UJA.J.C00.D-1790	 | 	Кабельные соединения РК. Аппаратура РК течи из I во II контур (АРКТ). Схемы электрических соединений РК
1204	10UJA.J.C00.D-1800	 | 	Кабельные соединения РК. Аппаратура радиационного контроля течи из I во II контур (АРКТ). Схемы внешних присоединений РК
1205	10UJA.J.C00.D-1810	 | 	МПУ. Журнал контрольных кабелей НЭ
1206	10UJA.J.C00.D-1820	 | 	МПУ. Журнал контрольных кабелей 2 канала СБ
1207	10UJA.J.C00.D-1830	 | 	МПУ. Журнал контрольных кабелей 1 канала СБ
1208	10UJA.J.C00.D-1930	 | 	Схемы присоединений кабелей к панелям и пультам БПУ, РПУ. Панель СУЗ БПУ
1209	10UJA.J.C00.D-1940	 | 	Журнал перемычек контрольных кабелей для панелей и пультов БПУ. Реакторное отделение
1210	10UJA.J.C00.D-1950	 | 	Журнал перемычек контрольных кабелей для панелей и пультов БПУ. Турбинное отделение
1211	10UJA.J.C00.D-1960	 | 	Журнал контрольных кабелей СУЗ 1 канала безопасности (инициирующая часть ДСЗ)
1212	10UJA.J.C00.D-1970	 | 	Журнал контрольных кабелей СУЗ 2 канала безопасности (инициирующая часть ДСЗ)
1213	10UJA.J.C00.D-1980	 | 	Журнал силовых кабелей СКУД НЭ. Система обнаружения свободных предметов (СОСП) 3 группы раскладки
1214	10UJA.J.C00.D-1990	 | 	Журнал контрольных кабелей СУЗ, предупредительная защита (ПЗ) 5 группы раскладки
1215	10UJA.J.C00.D-2000	 | 	Журнал контрольных кабелей СТД ГЦНА 5 группы раскладки
1216	10UJA.J.C00.D-2010	 | 	Журнал контрольных кабелей СТД ГЦНА 6 группы раскладки
1217	10UJA.J.C00.D-2020	 | 	Система СТД ГЦНА. Комплект чертежей
1218	10UJA.J.CA1.D-1000	 | 	Журнал контрольных кабелей СКУД НЭ. Система контроля вибрации (СКВ) 6 группы раскладки
1219	10UJA.J.CA1.D-1010	 | 	Журнал контрольных кабелей СКУД НЭ. Система контроля вибрации (СКВ) 5 группы раскладки
1220	10UJA.J.CA1.D-1020	 | 	Журнал контрольных кабелей СКУД НЭ. Система контроля течей по влажности (СКТВ) 6 группы раскладки
1221	10UJA.J.CA1.D-1030	 | 	Журнал контрольных кабелей СКУД НЭ. Система обнаружения свободных предметов (СОСП) 5 группы раскладки
1222	10UJA.J.CA1.D-1040	 | 	Журнал контрольных кабелей СКУД НЭ. Система обнаружения свободных предметов (СОСП) 6 группы раскладки
1223	10UJA.J.CA1.D-1050	 | 	Журнал контрольных кабелей СОТТ-2. Система акустического контроля течи (САКТ-2К) 6 группы раскладки
1224	10UJA.J.CA1.D-1060	 | 	Журнал контрольных кабелей СОТТ-2. Система влажного контроля течи (СКТВ-2К) 6 группы раскладки
1225	10UJA.J.CA1.D-1070	 | 	Журнал контрольных кабелей СОТТ-2. Система влажного контроля течи (СКТВ-2П) 6 группы раскладки
1226	10UJA.J.CA1.D-1090	 | 	(11UBP). Журнал контрольных кабелей ТТК УСБТ 1 канал
1227	10UJA.J.CA1.D-1100	 | 	(12UBP). Журнал контрольных кабелей ТТК УСБТ 2 канал
1228	10UJA.J.CA1.D-1150	 | 	(12UBP). Журнал контрольных кабелей перемычек в части управления запорной арматурой. ПТК УСБТ 2 канал
1229	10UJA.J.CA1.D-1190	 | 	(12UBP). ПТК В УСБТ 2 канал. Исходные данные для задания заводу на изготовления
1230	10UJA.J.CA1.D-1210	 | 	Кабельный журнал контрольных кабелей в части двигателей. ПТК СКУ РО
1231	10UJA.J.CA1.D-1240	 | 	Журнал контрольных кабелей ТТК. 1 Канал СБ
1232	10UJA.J.CA1.D-1250	 | 	(11UBP). Журнал контрольных кабелей в части питания арматуры. ПТК УСБТ 1 канал
1233	10UJA.J.CA1.D-1260	 | 	(11UBP). Журнал контрольных кабелей в части управления арматурой. ПТК УСБТ 1 канал
1234	10UJA.J.CA1.D-1270	 | 	(11UBP). Журнал контрольных кабелей в части двигателей. ПТК УСБТ 1 канал
1235	10UJA.J.CA1.D-1280	 | 	(11UBP). Журнал контрольных кабелей в части управления регулирующей арматурой. ПТК УСБТ 1 канал
1236	10UJA.J.CA1.D-1290	 | 	(11UBP). Журнал контрольных кабелей в части перемычек. ПТК УСБТ 1 канал
1237	10UJA.J.CA1.D-1320	 | 	(11UBP). Журнал контрольных кабелей перемычек в части управления регулирующей арматурой. ПТК УСБТ 1 канал
1238	10UJA.J.CA1.D-1330	 | 	(11UBP). Журнал контрольных кабелей перемычек в части управления запорной арматурой. ПТК УСБТ 1 канал
1239	10UJA.J.CA1.D-1340	 | 	(12UBP). Журнал контрольных кабелей между ПТК УСБТ и панелями БПУ. 2 канал
1240	10UJA.J.CA1.D-1350	 | 	Журнал контрольных кабелей ТТК. 2 Канал СБ
1241	10UJA.J.CA1.D-1360	 | 	Журнал контрольных кабелей ТТК. Нормальная эксплуатация
1242	10UJA.J.CA1.D-1370	 | 	(11UBP). ПТК В УСБТ 1 канал. Исходные данные для задания заводу на изготовления
1243	10UJA.J.CA1.D-1420	 | 	(11UBP). Журнал контрольных кабелей между ПТК УСБТ и панелями БПУ. 1 канал
1244	10UJA.J.CA1.D-1520	 | 	Журнал контрольных кабелей АКНП 2 канала безопасности 5 группы раскладки
1245	10UJA.J.CA1.D-1530	 | 	Журнал контрольных кабелей АКНП 1 канала безопасности 6 группы раскладки
1246	10UJA.J.CA1.D-1540	 | 	Журнал контрольных кабелей СВРК НЭ 6 группы раскладки
1247	10UJA.J.CA1.D-1550	 | 	Журнал контрольных кабелей СВРК НЭ 5 группы раскладки
1248	10UJA.J.CA1.D-1560	 | 	Журнал контрольных кабелей СВРК 2 канала безопасности 6 группы раскладки
1249	10UJA.J.CA1.D-1570	 | 	Журнал контрольных кабелей СВРК 2 канала безопасности 5 группы раскладки
1250	10UJA.J.CA1.D-1650	 | 	МПУ. Система управления краном эстакады. Журнал контрольных кабелей
1251	10UJA.J.CA1.D-1660	 | 	МПУ. Система управления краном мостовым электрическим кругового действия (КМЭКД). Журнал контрольных кабелей
1252	10UJA.J.CA1.D-1670	 | 	МПУ. Система управления шлюзами и дверьми. Журнал контрольных кабелей
1253	10UJA.J.CA1.D-1690	 | 	МПУ. Система контроля за работой гидроамортизаторов (СКГА). Журнал контрольных кабелей
1254	10UJA.J.CA1.D-1700	 | 	Система общестанционной телефонной связи. Журнал контрольных кабелей
1255	10UJA.J.CA1.D-1710	 | 	Система оперативной громкоговорящей и телефонной связи. Журнал контрольных кабелей
1256	10UJA.J.CA1.D-1720	 | 	Система радиосвязи. Журнал контрольных кабелей
1257	10UJA.J.CA1.D-1730	 | 	Система эксплуатационный радиотелефонов. Журнал контрольных кабелей
1258	10UJA.J.CA1.D-1780	 | 	Журнал контрольных кабелей исполнительной части СУЗ 2 канала безопасности 5 группы раскладки
1259	10UJA.J.CA1.D-1790	 | 	Журнал контрольных кабелей исполнительной части СУЗ 1 канала безопасности 5 группы раскладки
1260	10UJA.J.CA1.D-1800	 | 	Журнал контрольных кабелей инициирующей части СУЗ 2 канала безопасности 5 группы раскладки
1261	10UJA.J.CA1.D-1830	 | 	Журнал контрольных кабелей СГИУ 6 группы раскладки
1262	10UJA.J.CA1.D-1860	 | 	Журнал контрольных кабелей АКНП 2 канала безопасности 6 группы раскладки
1263	10UJA.J.CA1.D-1880	 | 	Журнал контрольных кабелей в части питания арматуры. ПТК СКУ РО
1264	10UJA.J.CA1.D-1890	 | 	Журнал контрольных кабелей в части питания регулирующей арматуры. ПТК СКУ РО
1265	10UJA.J.CA1.D-1900	 | 	Журнал контрольных кабелей в части управления арматурой. ПТК СКУ РО
1266	10UJA.J.CA1.D-1910	 | 	Журнал контрольных кабелей в части управления регулирующей арматурой. ПТК СКУ РО
1267	10UJA.J.CA1.D-1920	 | 	Журнал контрольных кабелей СВРК 1 канала безопасности 6 группы раскладки
1268	10UJA.J.CA1.D-2030	 | 	(11UBP). Журнал контрольных кабелей в части питания регулирующей арматуры. ПТК УСБТ 2 канал
1269	10UJA.J.CA1.D-2050	 | 	(12UBP). Журнал контрольных кабелей в части питания арматуры. ПТК УСБТ 2 канал
1270	10UJA.J.CA1.D-2060	 | 	(12UBP). Журнал контрольных кабелей в части управления арматурой. ПТК УСБТ 2 канал
1271	10UJA.J.CA1.D-2070	 | 	(12UBP). Журнал контрольных кабелей в части двигателей. ПТК УСБТ 2 канал
1272	10UJA.J.CA1.D-2080	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
1273	10UJA.J.CA1.D-2090	 | 	Система часофикации. Журнал контрольных кабелей
1274	10UJA.J.CA1.D-2120	 | 	Автоматизированная система виброконтроля и диагностики (АСВД). Журнал контрольных кабелей
1275	10UJA.J.CA1.D-2130	 | 	Журнал контрольных кабелей АКТТ СПОТ 6 группы раскладки
1276	10UJA.J.CA1.D-2150	 | 	Кабельные журналы РК. АРКТ из I во II контур. Журнал контрольных кабелей РК. 2 Канал СБ. 5 группа раскладки
1277	10UJA.J.CA1.D-2240	 | 	(12UBP). Журнал контрольных кабелей в части управления регулирующей арматурой. ПТК УСБТ 2 канал
1278	10UJA.J.CA1.D-2250	 | 	(12UBP). Журнал контрольных кабелей в части перемычек. ПТК УСБТ 2 канал
1279	10UJA.J.CA1.D-2280	 | 	(12UBP). Журнал контрольных кабелей перемычек в части управления регулирующей арматурой. ПТК УСБТ 2 канал
1280	10UJA.J.CA1.D-2330	 | 	Система видеорегистрации действий оперативного персонала. Журнал контрольных кабелей
1281	10UJA.J.CA1.D-2340	 | 	Система технологического видеонаблюдения (промтелевидение). Журнал контрольных кабелей
1282	10UJA.J.CA1.D-2350	 | 	Система проводного радиотрансляционного вещания. Журнал контрольных кабелей
1283	10UJA.J.CA1.D-2360	 | 	Система документирования оперативных переговоров. Журнал контрольных кабелей
1284	10UJA.J.CA1.D-2400	 | 	Журнал контрольных кабелей ТТК ПТК СКУ В
1285	10UJA.J.CA1.D-2410	 | 	Журнал контрольных кабелей ТТК ПТК СКУ РО
1286	10UJA.J.CA1.D-2460	 | 	(11UBP). Журнал контрольных кабелей в части питания регулирующей арматуры. ПТК УСБТ 1 канал
1287	10UJA.J.CA1.D-2480	 | 	Журнал контрольных кабелей перемычек в части управления запорной арматурой. ПТК СКУ РО
1288	10UJA.J.CA1.D-2490	 | 	Журнал контрольных кабелей перемычек в части управления регулирующей арматурой. ПТК СКУ РО
1289	10UJA.J.CA1.D-2530	 | 	Журнал контрольных кабелей в части питания арматуры. ПТК СКУ В
1290	10UJA.J.CA1.D-2540	 | 	Журнал контрольных кабелей в части питания регулирующей арматуры. ПТК СКУ В
1291	10UJA.J.CA1.D-2550	 | 	Журнал контрольных кабелей в части управления арматурой. ПТК СКУ В
1292	10UJA.J.CA1.D-2560	 | 	Журнал контрольных кабелей перемычек в части управления запорной арматурой. ПТК СКУ В
1293	10UJA.J.CA1.D-2570	 | 	Журнал контрольных кабелей перемычек в части управления регулирующей арматурой. ПТК СКУ В
1294	10UJA.J.CA1.D-2590	 | 	Журнал контрольных кабелей в части управления регулирующей арматурой. ПТК СКУ В
1295	10UJA.J.CA1.D-2680	 | 	Журнал контрольных кабелей СКУД НЭ. Система акустического контроля течей теплоносителя (САКТ) 6 группы раскладки
1296	10UJA.J.CA1.D-2720	 | 	Журнал контрольных кабелей АКНП 1 канала безопасности 5 группы раскладки
1297	10UJA.J.CA1.D-2730	 | 	Журнал контрольных кабелей СВРК 1 канала безопасности 5 группы раскладки
1298	10UJA.J.CWA.D-1000	 | 	Задание заводу на панели и пульты БПУ, РПУ. Реакторное отделение
1299	10UJA.J.CWA.D-1010	 | 	Схемы присоединений кабелей к панелям и пультам БПУ, РПУ. Реакторное отделение
1300	10UJA.J.CWB.D-1000	 | 	Задание заводу на панели и пульты БПУ, РПУ. Турбинное отделение
1301	10UJA.J.CWB.D-1010	 | 	Схемы присоединений кабелей к панелям и пультам БПУ, РПУ. Турбинное отделение
1302	10UJA.J.CWK.D-1000	 | 	Задание заводу на панели и пульты БПУ, РПУ. Пульт СУЗ
1303	10UJA.J.CWK.D-1010	 | 	Задание заводу на панели и пульты БПУ, РПУ. Панель СУЗ БПУ
1304	10UJA.J.CWK.D-1020	 | 	Схемы присоединений кабелей к панелям и пультам БПУ, РПУ. Электрическая часть
1305	10UJA.J.CWL.D-1000	 | 	(11UBP). Структурная схема СРВПЭ
1306	10UJA.J.CWL.D-1010	 | 	(12UBP). Структурная схема СРВПЭ
1307	10UJA.J.CY0.D-1000	 | 	Присоединения к кроссовым шкафам УСБТ 1 канал. Аналоговые сигналы
1308	10UJA.J.CY0.D-1010	 | 	Присоединения к кроссовым шкафам УСБТ 2 канал. Аналоговые сигналы
1309	10UJA.J.CY0.D-1020	 | 	Задание заводу на МПУ вторичных преобразователей КИП СБ
1310	10UJA.J.CY0.D-1030	 | 	Задание заводу на НКУ НЭ РО
1311	10UJA.J.CY0.D-1090	 | 	Перечень рабочей документации таблиц подключений СУЗ, СКУД, СОТТ-2, СТД ГЦНА
1312	10UJA.J.CY0.D-1100	 | 	Система СУЗ-УСБТ. Комплект чертежей
1313	10UJA.J.CY0.D-1110	 | 	(11UBP) Присоединения к НКУ ПТК УСБТ 1 канал
1314	10UJA.J.CY0.D-1130	 | 	(12UBP) Присоединения к НКУ ПТК УСБТ 2 канал
1315	10UJA.J.CY0.D-1170	 | 	Схемы питания МПУ вторичных преобразователей КИП СБ
1316	10UJA.J.CY0.D-1210	 | 	МПУ. Задание заводу на шкафы питания АСРК СБ
1317	10UJA.J.CY0.D-1220	 | 	МПУ. Задание заводу на шкафы питания АСРК НЭ
1318	10UJA.J.CY0.D-1230	 | 	МПУ. Задание заводу на сборки 0.38 кВ НЭ
1319	10UJA.J.CY0.D-1240	 | 	МПУ. Задание заводу на сборки 0.38 кВ СБ
1320	10UJA.J.CY0.D-1250	 | 	Задание заводу на шкафы ИПУ-КД
1321	10UJA.J.CY0.D-1270	 | 	ПТК СКУ РО. Исходные данные для задания заводу на изготовление
1322	10UJA.J.CY0.D-1300	 | 	(11UBP) Присоединения кабелей к НКУ ПТК УСБТ 1 канал. Электродвигатели
1323	10UJA.J.CY0.D-1310	 | 	(11UBP). Журнал кабелей системной шины. ПТК УСБТ 1 канал
1324	10UJA.J.CY0.D-1320	 | 	Задание заводу на панели безопасности БПУ, РПУ. Панели безопасности БПУ, 1 канал СБ
1325	10UJA.J.CY0.D-1370	 | 	Журнал кабелей сигнализации и диагностики
1326	10UJA.J.CY0.D-1380	 | 	Присоединения к ПТС ПТК СКУ РО
1327	10UJA.J.CY0.D-1390	 | 	Присоединения кабелей к НКУ. Электродвигатели
1328	10UJA.J.CY0.D-1400	 | 	Журнал кабелей питания стоек ПТС (24В) 2 группа
1329	10UJA.J.CY0.D-1420	 | 	(12UBP) Перечень объектов управления. Регулирующая арматура. ПТК УСБТ 2 канал
1330	10UJA.J.CY0.D-1430	 | 	Перечень объектов управления. Регулирующая арматура. ПТК СКУ РО
1331	10UJA.J.CY0.D-1440	 | 	Перечень объектов управления. Регулирующая арматура. ПТК СКУ В
1332	10UJA.J.CY0.D-1480	 | 	Перечень объектов управления. Электродвигатели. ПТК СКУ РО
1333	10UJA.J.CY0.D-1490	 | 	Перечень объектов управления. Электродвигатели. ПТК СКУ В
1334	10UJA.J.CY0.D-1500	 | 	Перечень объектов управления. Запорная арматура. ПТК СКУ РО
1335	10UJA.J.CY0.D-1510	 | 	Перечень объектов управления. Запорная арматура. ПТК СКУ В
1336	10UJA.J.CY0.D-1520	 | 	(11UBP). ПТК ЛЗ УСБТ 1 канал. Исходные данные для задания заводу на изготовления
1337	10UJA.J.CY0.D-1530	 | 	(11UBP). ПТК ПУ УСБТ 1 канал. Исходные данные для задания заводу на изготовление
1338	10UJA.J.CY0.D-1540	 | 	Задание заводу на панели и пульты БПУ, РПУ. Электрическая часть
1339	10UJA.J.CY0.D-1550	 | 	(12UBP). ПТК ЛЗ УСБТ 2 канал. Исходные данные для задания заводу на изготовления
1340	10UJA.J.CY0.D-1560	 | 	(12UBP). ПТК ПУ УСБТ 2 канал. Исходные данные для задания заводу на изготовление
1341	10UJA.J.CY0.D-1570	 | 	ПТК СКУ В. Исходные данные для задания заводу на изготовления
1342	10UJA.J.CY0.D-1580	 | 	Система СКУД. Комплект чертежей
1343	10UJA.J.CY0.D-1590	 | 	Система СОТТ-2. Комплект чертежей
1344	10UJA.J.CY0.D-1600	 | 	Кабельные соединения РК. Схемы электрических соединений РК
1345	10UJA.J.CY0.D-1610	 | 	МПУ. Схемы внешних подключений к шкафам питания АСРК НЭ
1346	10UJA.J.CY0.D-1620	 | 	МПУ. Схемы внешних подключений к шкафам питания АСРК СБ
1347	10UJA.J.CY0.D-1640	 | 	Трассы импульсных линий ТТК
1348	10UJA.J.CY0.D-1650	 | 	(12UBP). Задание заводу на НКУ ПТК УСБТ (2 канал)
1349	10UJA.J.CY0.D-1660	 | 	(11UBP). Задание заводу на НКУ ПТК УСБТ (1 канал)
1350	10UJA.J.CY0.D-1870	 | 	Присоединения к НКУ НЭ РО
1351	10UJA.J.CY0.D-1980	 | 	КРУ 10 кВ. ПТК СКУ ЭЧ ЭБ. Таблицы внешних подключений
1352	10UJA.J.CY0.D-2000	 | 	МПУ. Схемы внешних подключений к сборкам 0.38 кВ НЭ
1353	10UJA.J.CY0.D-2010	 | 	(11UBP) Перечень объектов управления. Запорная арматура. ПТК УСБТ 1 канал
1354	10UJA.J.CY0.D-2020	 | 	(12UBP) Перечень объектов управления. Запорная арматура. ПТК УСБТ 2 канал
1355	10UJA.J.CY0.D-2040	 | 	(12UBP). Журнал кабелей сигнализации и диагностики. ПТК УСБТ 2 канал
1356	10UJA.J.CY0.D-2100	 | 	Кабельные соединения РК. Схемы внешних соединений РК
1357	10UJA.J.CY0.D-2110	 | 	Автоматизированная система виброконтроля и диагностики (АСВД)
1358	10UJA.J.CY0.D-2210	 | 	(11UBP). Кабельные журналы для оборудования СРВПЭ
1359	10UJA.J.CY0.D-2220	 | 	(12UBP). Кабельные журналы для оборудования СРВПЭ
1360	10UJA.J.CY0.D-2260	 | 	(12UBP) Присоединения кабелей к НКУ ПТК УСБТ 2 канал. Электродвигатели
1361	10UJA.J.CY0.D-2270	 | 	(12UBP). Журнал кабелей системной шины. ПТК УСБТ 2 канал
1362	10UJA.J.CY0.D-2300	 | 	Присоединения к ПТС ПТК СКУ В
1363	10UJA.J.CY0.D-2370	 | 	КРУ 0,4 кВ. ЩПТ. ПТК СКУ ЭЧ ЭБ. Журнал кабелей от электрооборудования
1364	10UJA.J.CY0.D-2440	 | 	ПТК УСБТ, ПТК СКУ РО, В.  Схема структурная комплекса технических средств
1365	10UJA.J.CY0.D-2470	 | 	(11UBP). Журнал кабелей сигнализации и диагностики. ПТК УСБТ 1 канал
1366	10UJA.J.CY0.D-2520	 | 	Присоединения к НКУ НЭ надежного электроснабжения
1367	10UJA.J.CY0.D-2580	 | 	Журнал кабелей питания стоек ПТС (24В) 3 группа
1368	10UJA.J.CY0.D-2610	 | 	Каталог монтажных схем подключения к приводам запорной арматуры
1369	10UJA.J.CY0.D-2620	 | 	Каталог монтажных схем подключения к приводам регулирующей арматуры
1370	10UJA.J.CY0.D-2630	 | 	(11UBP) Перечень объектов управления. Регулирующая арматура. ПТК УСБТ 1 канал
1371	10UJA.J.CY0.D-2640	 | 	МПУ. Схемы заполнения сборок 0,38 кВ СБ
1372	10UJA.J.CY0.D-2650	 | 	МПУ дренажных стоков. Схема электрическая принципиальная
1373	10UJA.J.CY0.D-2660	 | 	МПУ. Схемы питания АСРК НЭ
1374	10UJA.J.CY0.D-2670	 | 	МПУ. Схемы питания АСРК СБ
1375	10UJA.J.CY0.D-2760	 | 	МПУ. Схемы заполнения сборок 0,38 кВ НЭ
1376	10UJA.J.CY0.D-2770	 | 	(11UBP) Перечень объектов управления. Электродвигатели. ПТК УСБТ 1 канал
1377	10UJA.J.CY0.D-2780	 | 	(12UBP) Перечень объектов управления. Электродвигатели. ПТК УСБТ 2 канал
1378	10UJA.J.CY0.D-2790	 | 	МПУ. Схемы внешних подключений к сборкам 0,38 кВ СБ
