Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                           |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
25   | 02UYX.J.C00.D-1250      |Журналы контрольных кабелей в части автоматики (MB0002)                                                                                |AKU.0783.02UYX.0.AK.MB0002                                                   |Смена пакет рд с <None> на <03.49-U0-3-0039>           |Смена статус заказчика с <(rev.C01)> на <ВК + (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <Sub-Supplier to T2 / Субподрядчик в Т2> на <Пройден ВК AN>                                                       |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-05>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-20> на <в производстве>    |Титан-2=>АЭП                   |
26   | 02UYX.J.C00.D-1240      |МПУ. Перечень объектов управления механизмами                                                                                          |AKU.0783.02UYX.0.AT.PC0003                                                   |Смена пакет рд с <None> на <03.49-U0-3-0023>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
27   | 02UYX.J.C00.D-1230      |МПУ. Схемы автоматизации (управление калорифером, вентилятором)                                                                        |AKU.0783.02UYX.0.ET.FS0001                                                   |Смена пакет рд с <None> на <03.49-U0-3-0015>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <Пройден ВК AN>                                                    |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-12> на <в производстве>    |Титан-2=>АЭП                   |
28   | 02UYX.J.C00.D-1220      |Схемы заполнения сборок 0,4 кВ                                                                                                         |AKU.0783.02UYX.0.AT.LU0001                                                   |Смена пакет рд с <None> на <03.49-U0-3-0018>           |Смена статус заказчика с <На ВК (rev.C01)> на <ВК + (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <Пройден ВК AN>                                                    |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-12-28> на <2023-01-10>|Смена ожидаемая дата выдачи рд в производство с <2022-12-28> на <в производстве>    |Титан-2=>АЭП                   |
29   | 02UYX.J.C00.D-1200      |Теплотехнический контроль (КИП)                                                                                                        |AKU.0783.02UYX.0.AK.TB0002                                                   |Смена пакет рд с <None> на <03.49-U0-3-0014>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Пройден ВК AN>                             |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
30   | 03UYX.J.JJJ.D-1070      |СКУ МПУ ОС. Задание заводу на ПТК. 1 этап                                                                                              |AKU.1480.03UYX.CXV.AK.EC0001                                                 |Смена пакет рд с <None> на <03.50-U0-3-0020>           |Смена статус заказчика с <ВК + (rev.C01)> на <nan>                            |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <nan>                                       |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-12-20> на <NaT>       |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>ТП                    |
31   | 00UAC.E.B00.D-1050      |Компоновка электрооборудования в осях 1-12                                                                                             |AKU.1480.00UAC.0.EM.TB0002                                                   |Смена пакет рд с <None> на <02.19-U0-3-0005>           |Смена статус заказчика с <None> на <(rev.C01)>                                |-                                                         |Смена статус текущей ревизии с <DD elaboration is started / Разработка РД начата> на <nan>                                                       |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <2023-03-21>              |-                              |
32   | 00UGW.J.CY0.D-1020      |Система технологического видеонаблюдения                                                                                               |AKU.0210.00UGW.0.SS.TB0003                                                   |Смена пакет рд с <None> на <06.06-U0-3-0013>           |-                                                                             |-                                                         |-                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <2023-03-29>              |Титан-2=>ТП=>Спецпроект        |
33   | 10UMA.J.C00.D-1270      |Перечень измерительных контуров в части СЗРТ                                                                                           |AKU.0130.10UMA.0.AT.TB0017                                                   |Смена пакет рд с <None> на <02.04-U1-3-0088>           |-                                                                             |-                                                         |-                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП (бывш. АСЭ)       |
34   | 10UMA.J.CA0.D-1220      |Схемы внешних импульсных проводок в части СЗРТ                                                                                         |AKU.0130.10UMA.0.AT.TB0018                                                   |Смена пакет рд с <None> на <02.04-U1-3-0089>           |-                                                                             |-                                                         |-                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП (бывш. АСЭ)       |
35   | 10UXA.J.C00.D-1040      |Задание на электроснабжение, освещение и АСУ ТП                                                                                        |AKU.0130.10UXA.GCG.WP.EC0001                                                 |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <2023-08-04>              |-                              |
36   | 02UYP.J.CYE.D-1020      |СКУ ПЗ. Задание заводу на ПТК. 1 этап                                                                                                  |AKU.1480.02UYP.0.AP.EC0001                                                   |Смена пакет рд с <None> на <03.41-U0-3-0103>           |Смена статус заказчика с <None> на <(rev.C01)>                                |-                                                         |Смена статус текущей ревизии с <DD elaboration is started / Разработка РД начата> на <На согласовании AN>                                        |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <2023-04-21>              |Титан-2=>ТП                    |
37   | 02UYP.J.CYE.D-1030      |СКУ ПЗ. Задание заводу на ПТК. 2 этап                                                                                                  |AKU.1480.02UYP.0.AP.EC0002                                                   |Смена пакет рд с <None> на <03.41-U0-3-0104>           |Смена статус заказчика с <None> на <(rev.C01)>                                |-                                                         |Смена статус текущей ревизии с <DD elaboration is started / Разработка РД начата> на <На согласовании AN>                                        |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <2023-04-21>              |Титан-2=>ТП                    |
38   | 00UAX.E.EEE.D-1000      |Электротехнические чертежи                                                                                                             |AKU.1227.00UAX.0.ET.TB0001                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику> на <Передан в производство>              |-                                                                          |-                                                                     |-                                                          |-                                                                                   |JV=>Титан-2=>SEP=>Львовский ТЭП|
39   | 01UAF.E.BAU.D-1010      |Молниезащита и заземление                                                                                                              |AKU.1480.01UAF.0.ET.TB0001                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |-                                                                          |-                                                                     |-                                                          |-                                                                                   |JV=>Титан-2=>ТП=>ОЭС           |
40   | 02UAF.E.BAU.D-1010      |Молниезащита и заземление                                                                                                              |AKU.1480.02UAF.0.ET.TB0001                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |-                                                                          |-                                                                     |-                                                          |-                                                                                   |JV=>Титан-2=>ТП=>ОЭС           |
