Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                             |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
21   | 10UQN.T.TTT.D-1000      |Технологическая часть                                                                                                                  |AKU.1324.10UQN.PAB.TW.TB0001                                                 |Смена пакет рд с <None> на <02.80-U1-2-0001>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2020-03-28>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |JV=>Титан-2=>ЭСТ               |
22   | 10UQQ.T.PC0.D-1030      |Система охлаждающей воды неответственных потребителей зданий 10UQR (10РС03). Технологическая часть                                     |AKU.1324.10UQQ.PCB.TW.TB0002                                                 |Смена пакет рд с <None> на <02.88-U1-2-0003>           |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>      |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-12-21> на <2023-01-02>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>C-плюс                |
23   | 03UBZ.T.TTT.D-1030      |(03UBZ) Вентиляция                                                                                                                     |AKU.1227.03UBZ.SAE.HV.TB0001                                                 |Смена пакет рд с <None> на <02.34-U0-2-0001>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2019-10-30>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |JV=>Титан-2=>SEP=>Львовский ТЭП|
24   | 10UCB.T.SA0.D-1010      |Установочные чертежи вентиляции                                                                                                        |AKU.0120.10UCB.0.HV.TB0004                                                   |Смена пакет рд с <None> на <03.02-U1-2-0004>           |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>                             |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |Смена дата статуса заказчика с <2022-11-25> на <2023-01-02>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
25   | 11UEJ.T.SAD.D-1000      |Системы отопления, вентиляции и кондиционирования. Компоновочные чертежи                                                               |AKU.0120.11UEJ.0.HV.TB0001                                                   |Смена пакет рд с <None> на <02.24.1-U1-2-0003>         |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-07-29>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
26   | 01UGT.T.GKD.D-1000      |Колодцы на сетях водопровода и канализации в районе маслодизельного хозяйства и очистных сооружений (GKD)                              |AKU.0120.01UGT.0.NW.TB0016                                                   |Смена пакет рд с <None> на <06.08-U0-2-0016>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>      |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |АЭП                            |
27   | 03UGF.T.S00.D-1010      |Отопление и вентиляция                                                                                                                 |AKU.0120.03UGF.SAS.HV.TB0001                                                 |Смена пакет рд с <None> на <06.02-U0-2-0003>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |АЭП                            |
28   | 03UGF.T.C00.D-1050      |Технологические решения                                                                                                                |AKU.0120.03UGF.0.TM.TB0003                                                   |Смена пакет рд с <None> на <06.02-U0-2-0001>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |АЭП                            |
29   | 00UGD.T.SAS.D-2300      |Аксонометрические схемы                                                                                                                |AKU.0130.00UGD.SAS.HV.TB0002                                                 |Смена пакет рд с <None> на <03.11-U0-2-0068>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>      |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
30   | 00UGD.T.SAS.D-2280      |Компоновочные чертежи вентиляции                                                                                                       |AKU.0130.00UGD.SAS.HV.TB0001                                                 |Смена пакет рд с <None> на <03.11-U0-2-0066>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>      |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
31   | 00UGD.T.SAS.D-2290      |Установочные чертежи вентиляции                                                                                                        |AKU.0130.00UGD.SAS.HV.TB0003                                                 |Смена пакет рд с <None> на <03.11-U0-2-0067>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>      |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
32   | 00UGD.T.STG.D-2220      |Общестанционная химическая лаборатория 00STG20. Заказная спецификация лабораторной мебели                                              |AKU.0130.00UGD.STG.TM.TB0008                                                 |Смена пакет рд с <None> на <03.11-U0-2-0059>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
33   | 00UGD.T.STG.D-2210      |Общестанционная химическая лаборатория 00STG20. Заказная спецификация приборов                                                         |AKU.0130.00UGD.STG.TM.TB0011                                                 |Смена пакет рд с <None> на <03.11-U0-2-0057>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
34   | 00UGD.T.STG.D-2180      |Общестанционная химическая лаборатория 00STG20. Организация лаборатории                                                                |AKU.0130.00UGD.STG.TM.TB0003                                                 |Смена пакет рд с <None> на <03.11-U0-2-0054>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
35   | 00UGD.T.STG.D-2240      |Экспресс-лаборатория 00STG30. Организация лаборатории                                                                                  |AKU.0130.00UGD.STG.TM.TB0004                                                 |Смена пакет рд с <None> на <03.11-U0-2-0061>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
36   | 00UGD.T.STG.D-2270      |Экспресс-лаборатория STG30. Заказная спецификация приборов                                                                             |AKU.0130.00UGD.STG.TM.TB0001                                                 |Смена пакет рд с <None> на <03.11-U0-2-0065>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
37   | 00UGD.T.GCF.D-2020      |Трубопровод концентрата от установки электродеионизации в систему GHC                                                                  |AKU.0130.00UGD.GCF.WP.TB0009                                                 |Смена пакет рд с <None> на <03.11-U0-2-0019>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
38   | 00UGD.T.GCF.D-1090      |Трубопровод раствора антискаланта                                                                                                      |AKU.0130.00UGD.GCF.WP.TB0002                                                 |Смена пакет рд с <None> на <03.11-U0-2-0012>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
