Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                             |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
2126 | 00UCM.R.CFR.D-1000      |Рабочая документация на оборудование АСКРО                                                                                             |AKU.0130.00UCM.0.RK.TB0001                                                   |-                                                      |Смена статус заказчика с <None> на <ВК - (rev.C01)>                           |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар>                                                                                               |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2022-12-12>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-29> на <2023-03-02>        |Титан-2=>АЭП                   |
2127 | 10UJA.R.CFU.D-1090      |Транспортно-технологическая схема обращения с твердыми радиоактивными отходами                                                         |AKU.0120.10UJA.0.RW.TB0001                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-09-14> на <2022-09-13>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>        |АЭП                            |
2128 | 00UKU.R.CFU.D-1020      |Компоновка оборудования РК                                                                                                             |AKU.0130.00UKU.0.RK.TB0003                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-07-15>      |-                                                                     |Смена дата статуса заказчика с <2022-08-31> на <2022-08-23>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>        |Титан-2=>АЭП                   |
2129 | 00UKU.R.CFU.D-1030      |Перечень измерительных контуров                                                                                                        |AKU.0130.00UKU.0.RK.TB0002                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-07-15>      |-                                                                     |Смена дата статуса заказчика с <2022-08-31> на <2022-08-23>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>        |Титан-2=>АЭП                   |
2130 | 02UYX.R.CF0.D-1060      |Журналы кабелей РК                                                                                                                     |AKU.0783.02UYX.0.RK.MB0001                                                   |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>        |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2022-12-26>|Смена ожидаемая дата выдачи рд в производство с <2022-11-30> на <в производстве>    |Титан-2=>АЭП                   |
2131 | 02UYX.R.CF0.D-1050      |Кабельные соединения РК. Схемы внешних подключений РК                                                                                  |AKU.0783.02UYX.0.RK.MA0001                                                   |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>        |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2022-12-26>|Смена ожидаемая дата выдачи рд в производство с <2022-11-30> на <в производстве>    |Титан-2=>АЭП                   |
2132 | 02UYX.R.CFU.D-1040      |Компоновочные чертежи оборудования радиационного контроля                                                                              |AKU.0783.02UYX.0.RK.LH0001                                                   |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>        |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2023-01-02>|Смена ожидаемая дата выдачи рд в производство с <2022-11-30> на <в производстве>    |Титан-2=>АЭП                   |
2133 | 02UYX.R.CF0.D-1020      |Перечень измерительных контуров РК                                                                                                     |AKU.0783.02UYX.0.RK.PC0001                                                   |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>        |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2022-12-26>|Смена ожидаемая дата выдачи рд в производство с <2022-11-30> на <в производстве>    |Титан-2=>АЭП                   |
2134 | 01UEH.T.TTT.D-1030      |Резервуар для сбора нефтесодержащих стоков. Технологические трубопроводы                                                               |-                                                                            |Смена пакет рд с <None> на <03.04-U0-2-0005>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |JV=>Титан-2=>Ростовский ПСП    |
2135 | 00UEJ.T.TTT.D-1030      |Резервуар для сбора нефтесодержащих стоков. Технологические трубопроводы                                                               |-                                                                            |Смена пакет рд с <None> на <03.08-U0-2-0005>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |JV=>Титан-2=>Ростовский ПСП    |
2136 | 02UEK.T.TTT.D-1030      |Резервуар для сбора нефтесодержащих стоков. Технологические трубопроводы                                                               |-                                                                            |Смена пакет рд с <None> на <03.07-U0-2-0013>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |JV=>Титан-2=>Ростовский ПСП    |
2137 | 00UGD.T.GNR.D-2150      |Трубопровод подачи ХОВ в баки 00GNR10BB001, 00GNR10BB002                                                                               |-                                                                            |Смена пакет рд с <None> на <03.11-U0-2-0077>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-22> на <2023-03-17>        |Титан-2=>АЭП                   |
2138 | 00UGM.T.G00.D-1010      |Наружные сети водоснабжения и канализации                                                                                              |-                                                                            |Смена пакет рд с <None> на <06.04-U0-2-0003>           |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2139 | 00UGM.T.TTT.D-1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.04-U0-2-0004>           |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2140 | 01UGM.T.S00.D-1010      |Внутренние системы водоснабжения и канализации                                                                                         |-                                                                            |Смена пакет рд с <None> на <06.04.1-U0-2-0003>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2141 | 01UGM.T.S00.D-1000      |Отопление и вентиляция                                                                                                                 |-                                                                            |Смена пакет рд с <None> на <06.04.1-U0-2-0004>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2142 | 01UGM.T.TTT.D-1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.04.1-U0-2-0005>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2143 | 02UGM.T.S00.D-1000      |Внутренние системы водоснабжения и канализации                                                                                         |-                                                                            |Смена пакет рд с <None> на <06.04.2-U0-2-0002>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2144 | 02UGM.T.S00.D-1020      |Отопление и вентиляция                                                                                                                 |-                                                                            |Смена пакет рд с <None> на <06.04.2-U0-2-0003>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2145 | 02UGM.T.TTT.D-1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.04.2-U0-2-0004>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2146 | 00UGV.T.G00.D-1010      |Наружные сети водоснабжения и канализации                                                                                              |-                                                                            |Смена пакет рд с <None> на <06.07-U0-2-0003>           |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2147 | 00UGV.T.TTT.D-1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.07-U0-2-0004>           |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2148 | 01UGV.T.S00.D-1010      |Внутренние системы водоснабжения и канализации                                                                                         |-                                                                            |Смена пакет рд с <None> на <06.07.1-U0-2-0002>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2149 | 01UGV.T.S00.D-1000      |Отопление и вентиляция                                                                                                                 |-                                                                            |Смена пакет рд с <None> на <06.07.1-U0-2-0003>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2150 | 01UGV.T.TTT.D-1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.07.1-U0-2-0004>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2151 | 02UGV.T.S00.D-1010      |Внутренние системы водоснабжения и канализации                                                                                         |-                                                                            |Смена пакет рд с <None> на <06.07.2-U0-2-0002>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2152 | 02UGV.T.S00.D-1000      |Отопление и вентиляция                                                                                                                 |-                                                                            |Смена пакет рд с <None> на <06.07.2-U0-2-0003>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2153 | 02UGV.T.TTT.D-1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.07.2-U0-2-0004>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2154 | 07UGV.T.S00.D-1010      |Внутренние системы водоснабжения и канализации                                                                                         |-                                                                            |Смена пакет рд с <None> на <06.07.7-U0-2-0002>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2155 | 07UGV.T.S00.D-1000      |Отопление и вентиляция                                                                                                                 |-                                                                            |Смена пакет рд с <None> на <06.07.7-U0-2-0003>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2156 | 07UGV.T.TTT.D-1010      |Технологические решения. Задание на производство технологического оборудования для проведения радиационного контроля                   |-                                                                            |Смена пакет рд с <None> на <06.07.7-U0-2-0005>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2157 | 07UGV.T.TTT.D-1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.07.7-U0-2-0004>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2158 | 08UGV.T.S00.D-1010      |Внутренние системы водоснабжения и канализации                                                                                         |-                                                                            |Смена пакет рд с <None> на <06.07.8-U0-2-0002>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2159 | 08UGV.T.S00.D-1000      |Отопление и вентиляция                                                                                                                 |-                                                                            |Смена пакет рд с <None> на <06.07.8-U0-2-0003>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2160 | 08UGV.T.TTT.D-1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.07.8-U0-2-0004>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2161 | 00UGW.T.G00.D-1010      |Наружные сети водоснабжения и канализации                                                                                              |-                                                                            |Смена пакет рд с <None> на <06.06-U0-2-0003>           |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2162 | 00UGW.T.TTT.D-1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.06-U0-2-0004>           |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2163 | 01UGW.T.G00.D.1000      |Внутренние системы водоснабжения и канализации                                                                                         |-                                                                            |Смена пакет рд с <None> на <06.06.1-U0-2-0003>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2164 | 01UGW.T.S00.D.1000      |Отопление и вентиляция                                                                                                                 |-                                                                            |Смена пакет рд с <None> на <06.06.1-U0-2-0004>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2165 | 01UGW.T.TTT.D.1000      |Технологические решения                                                                                                                |-                                                                            |Смена пакет рд с <None> на <06.06.1-U0-2-0005>         |Смена статус заказчика с <None> на <(rev.C01)>                                |Смена текущая ревизия с <None> на <C01 (есть только в 1С)>|-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>ТП=>Спецпроект        |
2166 | 00UTH.T.TTT.D-1040      |Резервуар для сбора нефтесодержащих стоков. Технологические трубопроводы                                                               |-                                                                            |Смена пакет рд с <None> на <03.38-U0-2-0005>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-14> на <2023-03-21>        |JV=>Титан-2=>Ростовский ПСП    |
2167 | 10UCB.J.CA0.D-1950      |Задание заводу на шкафы питания АСРК СБ                                                                                                |-                                                                            |Смена пакет рд с <None> на <03.02-U1-3-0163>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
